Bedroom,Bathroom,Property Size,Nearby School,Nearby Mall,Tenure Type,Property Type,Parking Lot,Bus Stop,Mall,Park,School,Hospital,price,Highway,Nearby Railway Station,Railway Station
3.0,2.0,1000.0,0,0,0,1,2.0,0,0,0,0,0,1500000.0,0,0,0
4.0,3.0,1600.0,0,0,0,1,1.0,0,0,0,0,0,780000.0,0,0,0
3.0,2.0,1352.0,0,0,0,1,2.0,0,0,0,0,0,950000.0,0,0,0
3.0,2.0,1171.0,0,0,1,1,1.0,0,0,1,0,1,532000.0,0,0,0
3.0,2.0,1155.0,0,0,0,1,3.0,0,0,0,0,0,395000.0,0,0,0
4.0,3.0,1422.0,0,0,1,1,1.0,0,0,0,0,0,578000.0,0,0,0
3.0,2.0,1012.0,0,0,0,5,2.0,0,0,0,1,0,320000.0,0,0,1
3.0,2.0,1432.0,0,0,1,1,2.0,0,0,0,0,0,750000.0,0,0,0
3.0,2.0,933.0,0,0,1,5,1.0,0,0,0,0,0,600000.0,0,0,0
2.0,2.0,815.0,0,0,1,1,2.0,0,0,0,0,0,575000.0,0,0,0
3.0,2.0,933.0,0,0,1,5,2.0,0,0,0,0,0,495000.0,0,0,0
3.0,2.0,1004.0,0,0,1,1,1.0,0,0,0,0,0,715000.0,0,0,0
2.0,1.0,590.0,0,0,1,0,1.0,0,0,0,0,0,500000.0,0,0,0
3.0,2.0,852.0,0,0,1,0,1.0,1,0,1,1,0,299900.0,0,0,0
3.0,2.0,800.0,0,0,0,0,1.0,0,0,0,0,0,270000.0,0,0,0
3.0,2.0,1000.0,0,0,0,1,1.0,0,0,0,0,0,510000.0,0,0,0
3.0,2.0,743.0,0,0,0,3,2.0,0,0,0,0,0,65000.0,0,0,0
4.0,3.0,1464.0,0,0,1,1,2.0,0,0,0,0,0,930000.0,0,0,0
3.0,3.0,1400.0,0,0,0,1,2.0,0,0,0,0,0,1030000.0,0,0,0
3.0,2.0,1936.0,1,0,1,0,3.0,0,0,0,1,0,470000.0,0,1,1
3.0,4.0,2101.0,0,0,0,1,2.0,0,0,0,0,0,2680000.0,0,0,0
3.0,2.0,753.0,0,1,1,5,1.0,1,1,1,0,0,220000.0,0,0,0
2.0,1.0,712.0,0,0,1,0,1.0,0,0,0,0,0,225000.0,0,0,0
3.0,2.0,925.0,1,0,0,0,1.0,1,0,1,1,0,368000.0,0,0,0
3.0,3.0,1200.0,0,0,0,1,2.0,1,1,1,1,0,550000.0,0,0,1
3.0,2.0,850.0,0,0,1,0,1.0,0,0,0,0,0,320000.0,0,0,0
3.0,2.0,1055.0,0,0,0,0,2.0,0,0,0,0,0,268000.0,0,0,0
3.0,2.0,900.0,0,0,0,0,1.0,0,0,0,0,0,330000.0,0,0,0
3.0,2.0,750.0,1,0,0,0,1.0,0,0,1,1,0,275000.0,0,0,0
3.0,2.0,1023.0,0,0,0,1,2.0,0,0,0,0,0,300000.0,0,0,0
3.0,2.0,850.0,1,0,1,0,1.0,1,0,1,1,0,266000.0,0,0,0
3.0,2.0,883.0,1,0,1,0,1.0,0,0,1,1,0,230000.0,0,0,0
3.0,1.0,732.0,0,0,1,0,1.0,0,0,1,1,0,168000.0,0,0,0
3.0,2.0,800.0,0,0,0,1,1.0,0,1,1,1,0,300000.0,0,0,1
3.0,2.0,1173.0,1,1,1,1,1.0,1,1,1,1,0,355000.0,0,0,0
3.0,1.0,650.0,0,0,0,0,1.0,1,0,1,1,0,185000.0,0,0,0
4.0,2.0,1650.0,0,0,0,1,1.0,0,0,0,0,0,550000.0,0,0,0
2.0,1.0,657.0,0,1,1,5,1.0,0,1,1,0,0,430000.0,0,0,0
3.0,2.0,850.0,0,0,0,0,2.0,0,0,0,0,0,390000.0,0,0,0
3.0,2.0,652.0,0,0,0,0,1.0,0,0,0,0,0,140000.0,0,0,0
3.0,2.0,946.0,0,0,1,1,1.0,0,0,0,0,0,386000.0,0,0,0
1.0,1.0,600.0,0,0,1,5,1.0,0,1,1,1,0,245000.0,0,0,1
3.0,2.0,1100.0,0,0,0,1,2.0,0,0,0,0,0,394000.0,0,0,0
3.0,2.0,1334.0,0,0,0,1,1.0,0,0,0,0,0,380000.0,0,0,0
4.0,3.0,2809.0,0,0,0,1,2.0,0,0,0,0,0,930000.0,0,0,0
3.0,2.0,700.0,0,0,0,0,1.0,0,0,0,0,0,295000.0,0,0,0
3.0,2.0,1100.0,1,1,0,1,1.0,1,1,1,1,0,488000.0,0,1,1
3.0,2.0,1100.0,0,0,0,1,2.0,0,0,0,0,0,530000.0,0,0,0
1.0,1.0,400.0,0,0,1,6,1.0,0,0,0,0,0,200500.0,0,0,0
3.0,2.0,680.0,0,0,0,0,1.0,0,0,0,0,0,335000.0,0,0,0
3.0,2.0,850.0,0,0,0,0,1.0,0,0,0,0,0,350000.0,0,0,0
3.0,2.0,750.0,0,0,0,0,1.0,0,0,0,0,0,370000.0,0,0,0
3.0,1.0,600.0,0,0,0,0,1.0,0,0,0,0,0,135000.0,0,0,0
4.0,2.0,1349.0,0,0,0,1,1.0,0,0,0,0,0,645000.0,0,0,0
1.0,1.0,400.0,0,0,1,6,1.0,0,0,0,0,0,200200.0,0,0,0
4.0,3.0,1282.0,1,1,0,1,2.0,1,1,1,1,0,485000.0,0,0,0
2.0,2.0,430.0,0,0,0,5,1.0,1,1,1,1,1,350000.0,0,0,1
1.0,1.0,400.0,0,0,1,6,1.0,0,0,0,0,0,200000.0,0,0,0
3.0,2.0,953.0,1,0,0,1,1.0,0,0,1,1,0,505000.0,0,0,0
2.0,1.0,657.0,0,1,1,5,1.0,0,1,1,0,0,468000.0,0,0,0
2.0,2.0,1001.0,0,1,1,1,1.0,0,1,0,0,1,280000.0,0,0,0
3.0,2.0,957.0,0,0,0,0,1.0,0,0,0,0,0,250000.0,1,0,0
3.0,2.0,910.0,0,0,1,1,3.0,0,0,1,1,0,360000.0,0,0,1
3.0,2.0,1100.0,0,0,0,1,2.0,0,0,0,0,0,390000.0,0,0,0
3.0,2.0,775.0,0,0,1,0,1.0,1,0,0,1,0,324000.0,0,0,0
3.0,2.0,850.0,0,0,0,1,2.0,0,0,0,0,0,325000.0,0,0,0
3.0,2.0,925.0,0,0,1,5,1.0,0,0,0,0,0,365000.0,0,0,0
3.0,2.0,1000.0,0,0,1,0,1.0,0,0,0,0,0,229999.0,0,0,0
3.0,2.0,1049.0,0,0,1,1,1.0,0,0,0,0,0,360000.0,0,0,0
3.0,2.0,1173.0,0,0,1,1,1.0,1,1,1,1,0,355000.0,0,0,0
3.0,2.0,700.0,0,0,0,1,1.0,0,0,0,0,0,340000.0,0,0,0
3.0,2.0,1144.0,0,0,1,5,1.0,0,0,0,0,0,489000.0,0,0,0
3.0,2.0,700.0,0,0,1,0,2.0,0,0,0,0,0,99000.0,0,0,0
3.0,2.0,650.0,0,0,1,3,1.0,0,0,0,0,0,175000.0,0,0,0
2.0,2.0,797.0,0,0,1,1,1.0,0,0,0,0,0,380790.0,0,0,0
3.0,2.0,750.0,0,0,0,0,1.0,0,0,0,0,0,170000.0,0,0,0
3.0,2.0,950.0,0,0,1,0,1.0,0,0,0,0,0,295000.0,0,0,0
3.0,2.0,1250.0,0,0,0,1,2.0,0,0,0,0,0,499000.0,0,0,0
3.0,2.0,881.0,0,0,0,5,2.0,1,0,0,1,0,610000.0,0,0,1
3.0,3.0,1557.0,0,0,1,1,2.0,0,0,0,0,0,1059888.0,0,0,0
3.0,2.0,1335.0,0,0,0,1,2.0,0,0,0,0,0,549000.0,0,0,0
3.0,2.0,811.0,0,0,0,1,1.0,1,0,0,0,1,285000.0,0,0,0
3.0,2.0,926.0,0,0,0,5,2.0,0,0,0,0,0,456000.0,0,0,0
3.0,2.0,1073.0,1,1,1,1,2.0,0,1,1,1,0,520000.0,0,1,1
3.0,2.0,997.0,0,0,0,1,1.0,0,0,0,0,0,400000.0,0,0,0
3.0,2.0,1200.0,0,0,0,1,2.0,0,0,0,0,0,1480000.0,0,0,0
3.0,2.0,1200.0,0,0,0,1,2.0,0,0,0,0,0,1450000.0,0,0,0
3.0,2.0,900.0,1,1,0,0,1.0,1,1,1,1,0,379000.0,0,1,1
4.0,4.0,1850.0,0,0,1,1,2.0,0,0,0,0,0,1338000.0,0,0,0
3.0,2.0,1002.0,0,0,0,0,1.0,0,0,0,0,0,360000.0,0,0,0
2.0,2.0,820.0,0,0,0,0,1.0,0,0,0,0,0,380000.0,0,0,0
3.0,2.0,1001.0,0,0,1,0,1.0,0,0,0,0,0,210000.0,0,0,0
3.0,4.0,2124.0,0,0,0,0,1.0,0,0,0,0,0,520000.0,0,0,0
2.0,2.0,798.0,0,0,0,5,1.0,0,0,0,0,0,772090.0,0,0,0
4.0,3.0,2214.0,0,0,0,5,4.0,1,1,1,1,0,950000.0,0,0,0
3.0,2.0,982.0,0,0,1,1,2.0,0,0,0,0,0,515000.0,0,0,0
3.0,2.0,1000.0,0,0,1,1,1.0,0,0,0,0,0,408000.0,0,0,0
