Actual Price,Predicted Price
270000.0,267650.6618949611
480000.0,418152.97313214396
510000.0,443539.532124361
450000.0,390368.66881577705
450000.0,359500.53371577134
1200000.0,502501.9980230076
380000.0,369657.84686891915
450000.0,418152.97313214396
620000.0,579244.0587728692
145000.0,184091.38634096715
160000.0,192883.08281778856
150000.0,192544.69585431047
170000.0,190482.96756102628
470000.0,572529.1405639213
298000.0,421740.4435341395
420000.0,418152.97313214396
399000.0,369657.84686891915
580000.0,443539.532124361
260000.0,312772.6869644501
328000.0,438870.2663221281
270000.0,275005.40967915393
598000.0,443539.532124361
170000.0,192883.08281778856
420000.0,202235.59288642736
249999.0,467348.9236326585
458000.0,306410.68145026726
390000.0,369657.84686891915
290000.0,347812.84143481386
170000.0,209228.10330764155
210000.0,299383.04631891
99000.0,443539.532124361
350000.0,289860.2403115492
210000.0,187703.13829216952
230000.0,267650.6618949611
240000.0,369657.84686891915
210000.0,213971.3120837767
218000.0,307447.69030001346
695000.0,502501.9980230076
368000.0,299383.04631891
248000.0,267650.6618949611
285000.0,267650.6618949611
225000.0,337804.3268244809
473000.0,544628.4690360535
210000.0,418152.97313214396
228000.0,328087.7056404801
268000.0,347812.84143481386
235000.0,187703.13829216952
680000.0,777860.958863272
919000.0,766419.9113267936
290000.0,357773.027875324
199999.0,267650.6618949611
390000.0,443539.532124361
338000.0,299383.04631891
245000.0,369657.84686891915
285000.0,267650.6618949611
460000.0,369657.84686891915
580000.0,634635.2440050751
500000.0,369657.84686891915
170000.0,192883.08281778856
178000.0,267650.6618949611
2300000.0,540840.6424500814
350000.0,369657.84686891915
650000.0,478660.3993819032
370000.0,289860.2403115492
350000.0,383472.8313681296
460000.0,433085.0759258311
288000.0,319070.8509178608
239000.0,418152.97313214396
599000.0,299383.04631891
1450000.0,518354.53417287616
547000.0,822186.1972649642
499000.0,534658.4238798926
620000.0,443539.532124361
318000.0,369657.84686891915
680000.0,484762.65560440987
370000.0,454226.26151511574
368000.0,299383.04631891
320000.0,418152.97313214396
230000.0,202235.59288642736
218000.0,319070.8509178608
288000.0,369657.84686891915
460000.0,371227.43333178177
380000.0,359500.53371577134
315000.0,359500.53371577134
220000.0,192883.08281778856
760000.0,849603.9899607244
600000.0,562684.6912514906
420000.0,299383.04631891
196000.0,192544.69585431047
1700000.0,1343104.9877909343
145000.0,192883.08281778856
500000.0,528918.9363750862
456000.0,359500.53371577134
998000.0,589360.0585211406
390000.0,303603.16685710853
1150000.0,675470.7120083981
155000.0,306410.68145026726
135000.0,289860.2403115492
390000.0,306410.68145026726
320000.0,517368.50691484124
480760.0,598797.3143555284
380000.0,354464.2448620441
330000.0,369657.84686891915
148000.0,303603.16685710853
529000.0,438870.2663221281
270000.0,371227.43333178177
260000.0,267650.6618949611
200000.0,197071.19048175603
1009000.0,932656.0593294598
580000.0,544628.4690360535
380000.0,438870.2663221281
320000.0,306410.68145026726
155000.0,267650.6618949611
310000.0,337804.3268244809
600000.0,306410.68145026726
330000.0,357773.027875324
550000.0,518354.53417287616
555000.0,491608.5738040817
448000.0,459053.30789303547
328000.0,267650.6618949611
498000.0,306410.68145026726
850000.0,849603.9899607244
330000.0,306410.68145026726
168000.0,267650.6618949611
140000.0,202235.59288642736
695000.0,654385.6380734443
390000.0,484762.65560440987
490000.0,471332.43945786916
380300.0,357773.027875324
450000.0,337804.3268244809
255000.0,359500.53371577134
135000.0,184091.38634096715
368000.0,369657.84686891915
780000.0,748931.981086632
195000.0,267650.6618949611
530000.0,518354.53417287616
408000.0,433085.0759258311
200000.0,267650.6618949611
130000.0,275005.40967915393
260000.0,267650.6618949611
390000.0,443539.532124361
230000.0,369657.84686891915
280000.0,299383.04631891
365000.0,359500.53371577134
320000.0,423894.5885557508
2199999.0,875966.5782594818
260000.0,267650.6618949611
410000.0,555139.3671706067
289000.0,306410.68145026726
184000.0,267650.6618949611
300000.0,454226.26151511574
330000.0,418152.97313214396
288000.0,299383.04631891
325000.0,418152.97313214396
280001.0,213971.3120837767
760000.0,421740.4435341395
238000.0,306410.68145026726
265000.0,299383.04631891
383950.0,421740.4435341395
449000.0,467348.9236326585
299999.0,359500.53371577134
345000.0,209228.10330764155
438000.0,347812.84143481386
180000.0,116731.14117974625
195000.0,306410.68145026726
370000.0,267650.6618949611
260000.0,299383.04631891
268000.0,357773.027875324
210000.0,299383.04631891
360000.0,267650.6618949611
275000.0,282766.65349916794
246000.0,371227.43333178177
165000.0,202235.59288642736
600000.0,564528.6672344151
1059888.0,923417.7402903214
980000.0,502501.9980230076
98000.0,192883.08281778856
190000.0,267650.6618949611
598000.0,471332.43945786916
548000.0,589360.0585211406
420000.0,520285.3073153234
